THE STARTING RANDOM GENERATION ************************
 a,b : (-0.48709, 0.07082)  FITNESS: 2.19057
 a,b : (-0.48715, 0.03475)  FITNESS: 2.39808
 a,b : (-0.48721, 0.08326)  FITNESS: 2.42130
 a,b : (-0.48718, 0.08393)  FITNESS: 1.79596
 a,b : (-0.48715, 0.05094)  FITNESS: 1.89677
 a,b : (-0.48712, 0.08469)  FITNESS: 0.53922
 a,b : (-0.48703, 0.07012)  FITNESS: 3.56974
 a,b : (-0.48746, 0.03236)  FITNESS: 4.60184
 a,b : (-0.48733, 0.05860)  FITNESS: 3.35309
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48718, 0.08686)  FITNESS: 2.04773
 a,b : (-0.48721, 0.03560)  FITNESS: 1.01543
 a,b : (-0.48733, 0.08296)  FITNESS: 4.98430
 a,b : (-0.48700, 0.06526)  FITNESS: 4.48688
 a,b : (-0.48737, 0.00946)  FITNESS: 2.93699
 a,b : (-0.48718, 0.03120)  FITNESS: 1.77477
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48709, 0.02686)  FITNESS: 3.79960
 a,b : (-0.48730, 0.04505)  FITNESS: 1.93422
 a,b : (-0.48700, 0.05505)  FITNESS: 4.96875

 Generation best fit: 0.26071  [9] a,b (-0.48727, 0.02472)


************************ THE STARTING RANDOM GENERATION



 a,b : (-0.48721, -0.48715)  FITNESS: 5.93030
 a,b : (0.03560, 0.03475)  FITNESS: 6.82679
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550

 Generation best fit: 5.93030  [2] a,b (-0.48709, -0.48727)


 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071

 Generation best fit: 0.26071  [1] a,b (-0.48727, 0.02472)


 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550

 Generation best fit: 5.93030  [0] a,b (-0.48709, -0.48727)


 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071
 a,b : (-0.48709, 0.09203)  FITNESS: 0.58286
 a,b : (-0.48727, 0.02472)  FITNESS: 0.26071

 Generation best fit: 0.26071  [1] a,b (-0.48727, 0.02472)


 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
 a,b : (0.09203, 0.02472)  FITNESS: 6.81550
 a,b : (-0.48709, -0.48727)  FITNESS: 5.93030
